
 item_id | time                            | item_dsc                 | value
    8001 | 2020-03-17 10:23:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 10:18:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 10:13:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 10:08:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 10:03:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 09:58:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 09:53:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 09:48:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 09:43:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 09:38:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 09:33:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 09:28:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 09:23:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 09:18:20.000000+0000 | Barometric pressure (mb) | 1008.00
    8001 | 2020-03-17 09:13:20.000000+0000 | Barometric pressure (mb) | 1008.00
    8001 | 2020-03-17 09:08:20.000000+0000 | Barometric pressure (mb) | 1008.00
    8001 | 2020-03-17 09:03:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 08:58:20.000000+0000 | Barometric pressure (mb) | 1008.00
    8001 | 2020-03-17 08:53:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 08:48:20.000000+0000 | Barometric pressure (mb) | 1008.00
    8001 | 2020-03-17 08:43:20.000000+0000 | Barometric pressure (mb) | 1008.00
    8001 | 2020-03-17 08:38:20.000000+0000 | Barometric pressure (mb) | 1008.00
    8001 | 2020-03-17 08:33:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 08:28:20.000000+0000 | Barometric pressure (mb) | 1008.00
    8001 | 2020-03-17 08:23:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 08:18:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 08:13:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 08:08:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 08:03:20.000000+0000 | Barometric pressure (mb) | 1008.00
    8001 | 2020-03-17 07:58:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 07:53:20.000000+0000 | Barometric pressure (mb) | 1008.00
    8001 | 2020-03-17 07:48:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 07:43:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 07:38:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 07:33:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 07:28:20.000000+0000 | Barometric pressure (mb) | 1009.00

 item_id | time                            | item_dsc                 | value
---------+---------------------------------+--------------------------+---------
    8001 | 2020-03-17 07:23:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 07:18:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 07:13:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 07:08:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 07:03:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 06:58:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 06:53:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 06:48:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 06:43:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 06:38:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 06:33:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 06:28:20.000000+0000 | Barometric pressure (mb) | 1010.00
